id2,geography,year,state,percent_renter,percent_asian,percent_black,percent_hispanic,percent_multifamily_housing,eviction_rate,poverty_rate,median_income,avg_cost_electricity,avg_cost_gas,avg_cost_water,asthma_rate
8031002602,"Census Tract 26.02, Denver County, Colorado",2013,CO,0.773,0.026,0.047,0.09,0.938162544,2.22,11.44,52775,950.07,643.03,629.79,n/a
8031002701,"Census Tract 27.01, Denver County, Colorado",2013,CO,0.882,0.024,0.018,0.21,0.988431531,1.7,3.36,31929,-9999,-9999,-9999,n/a
8031002702,"Census Tract 27.02, Denver County, Colorado",2013,CO,0.644,0.037,0.027,0.066,0.894097222,0.9,0,45871,2016,2268,263,n/a
8031002703,"Census Tract 27.03, Denver County, Colorado",2013,CO,0.806,0.01,0.017,0.099,0.929373997,2,12.57,37488,-9999,-9999,-9999,n/a
8031002801,"Census Tract 28.01, Denver County, Colorado",2013,CO,0.589,0.032,0.007,0.098,0.512635379,0.84,3.76,63816,1919.66,1412.06,523.67,n/a
8031002802,"Census Tract 28.02, Denver County, Colorado",2013,CO,0.754,0.019,0.012,0.161,0.704452055,1.75,8.67,45707,2016,2268,263,n/a
8031002803,"Census Tract 28.03, Denver County, Colorado",2013,CO,0.791,0.01,0.015,0.057,0.868732908,0.53,5.91,50157,1008,1008,526,n/a
8031002901,"Census Tract 29.01, Denver County, Colorado",2013,CO,0.496,0.007,0.02,0.117,0.394633508,0.94,7.31,57096,802.88,556.19,322.23,n/a
8031002902,"Census Tract 29.02, Denver County, Colorado",2013,CO,0.363,0.022,0.006,0.046,0.160619255,0.29,3.44,94915,1918.84,487.35,614.05,n/a
8031003001,"Census Tract 30.01, Denver County, Colorado",2013,CO,0.324,0.043,0.004,0.036,0.168370825,0.19,3.73,78347,1243.5,785.62,488,n/a
8031003002,"Census Tract 30.02, Denver County, Colorado",2013,CO,0.5,0.014,0.009,0.091,0.268558952,0.43,0.99,73125,1420.36,1420.36,227.06,n/a
8031003003,"Census Tract 30.03, Denver County, Colorado",2013,CO,0.631,0.046,0.015,0.09,0.403436989,0.53,3.86,36422,-9999,-9999,-9999,n/a
8031003004,"Census Tract 30.04, Denver County, Colorado",2013,CO,0.55,0.05,0.028,0.064,0.284375,0.33,7.07,55577,802.88,556.19,322.23,n/a
8031003101,"Census Tract 31.01, Denver County, Colorado",2013,CO,0.301,0.024,0.197,0.161,0.341696535,0.93,11.42,60625,1222.17,819.54,678.84,n/a
8031003102,"Census Tract 31.02, Denver County, Colorado",2013,CO,0.808,0.021,0.142,0.166,0.868713605,1.95,26.14,26543,1651.8,1218.2,391.32,n/a
8031003201,"Census Tract 32.01, Denver County, Colorado",2013,CO,0.686,0.027,0.07,0.074,0.858503401,1.02,6.38,44920,-9999,-9999,-9999,n/a
8031003202,"Census Tract 32.02, Denver County, Colorado",2013,CO,0.651,0.019,0.042,0.076,0.827808471,0.94,11.84,56034,802.88,556.19,322.23,n/a
8031003203,"Census Tract 32.03, Denver County, Colorado",2013,CO,0.179,0.018,0.016,0.051,0.079881657,0,0,140982,993.05,772.06,435.08,n/a
8031003300,"Census Tract 33, Denver County, Colorado",2013,CO,0.282,0.039,0.009,0.062,0.203378378,0.84,3.83,99250,1918.84,487.35,614.05,n/a
8031003401,"Census Tract 34.01, Denver County, Colorado",2013,CO,0.258,0.018,0.004,0.04,0.43655914,0,1.57,81806,1530.42,627.07,493.51,n/a
8031003402,"Census Tract 34.02, Denver County, Colorado",2013,CO,0.208,0.037,0.003,0.079,0.051690821,0.25,3.42,105189,384,888,137,n/a
8031003500,"Census Tract 35, Denver County, Colorado",2013,CO,0.52,0.006,0.051,0.82,0.146044625,2.99,27.16,33793,726.72,252,192.7,n/a
8031003601,"Census Tract 36.01, Denver County, Colorado",2013,CO,0.493,0.008,0.137,0.627,0.272017837,2.55,24.21,38992,1448.89,506.22,486.15,n/a
8031003602,"Census Tract 36.02, Denver County, Colorado",2013,CO,0.439,0.006,0.295,0.452,0.133170434,2.05,23.13,43271,1331.17,841.24,413.93,n/a
8031003603,"Census Tract 36.03, Denver County, Colorado",2013,CO,0.275,0,0.416,0.199,0.101851852,1.92,6.65,61863,1222.17,819.54,678.84,n/a
8031003701,"Census Tract 37.01, Denver County, Colorado",2013,CO,0.554,0.041,0.07,0.137,0.755172414,1.29,2.27,67449,1955.33,1120.89,465.94,n/a
8031003702,"Census Tract 37.02, Denver County, Colorado",2013,CO,0.672,0.009,0.063,0.109,0.701244813,1.32,0,40609,1260,5676,631,n/a
8031003703,"Census Tract 37.03, Denver County, Colorado",2013,CO,0.551,0.023,0.083,0.071,0.517042172,1.27,2.36,49228,-9999,-9999,-9999,n/a
8031003800,"Census Tract 38, Denver County, Colorado",2013,CO,0.543,0.032,0.005,0.045,0.565619674,0.62,3.37,80690,1243.5,785.62,488,n/a
8031003901,"Census Tract 39.01, Denver County, Colorado",2013,CO,0.173,0.026,0.008,0.049,0.334724541,3.2,0,131413,1848,812,252.56,n/a
8031003902,"Census Tract 39.02, Denver County, Colorado",2013,CO,0.261,0.018,0.004,0.027,0.04972973,0.47,5.28,92155,2213.72,776.12,530.18,n/a
8031004002,"Census Tract 40.02, Denver County, Colorado",2013,CO,0.113,0.008,0,0.021,0.004978663,0.57,3.81,96339,1918.84,487.35,614.05,n/a
8031004003,"Census Tract 40.03, Denver County, Colorado",2013,CO,0.275,0.003,0.098,0.1,0.053266332,0.82,3.29,63914,1377.89,895.3,586.45,n/a
8031004004,"Census Tract 40.04, Denver County, Colorado",2013,CO,0.068,0.008,0.039,0.053,0.204833142,1.55,0,88083,854.72,578.28,351.08,n/a
8031004005,"Census Tract 40.05, Denver County, Colorado",2013,CO,0.731,0.071,0.023,0.084,0.664915353,0.7,10.12,37561,636,384,253,n/a
8031004006,"Census Tract 40.06, Denver County, Colorado",2013,CO,0.491,0.05,0.014,0.036,0.404205607,0.42,2.34,58699,384,252,621,n/a
8031004101,"Census Tract 41.01, Denver County, Colorado",2013,CO,0.672,0.017,0.462,0.28,0.42428115,3.7,28.37,27477,1651.8,1218.2,391.32,n/a
